JonJ,Joanna,Jason,Trevor,5
JonJ,Joanna,Melisa,Reynolds,6
JonJ,Joanna,Jason,Zach,6
Reynolds,Trevor,JonJ,Joanna,6
Joanna,Melisa,Trevor,Reynolds,6
Joanna,Trevor,Jason,Reynolds,6
Reynolds,Joanna,Zach,Trevor,7
Reynolds,Joanna,Jason,Chris,4
Reynolds,Joanna,Alex,Peter,4
JonJ,Dan,Reynolds,Joanna,0
JonJ,Dan,Brian,JohnH,6
JonJ,Dan,Alex,Peter,2
JonJ,Dan,Joanna,Jason,1
JonJ,Dan,Brian,Alex,7
JonJ,Dan,Jason,Alex,4
JonJ,Dan,Brian,Ajith,7
Jason,Chris,Melisa,Zach,6
Jason,Chris,Melisa,Zach,6
Jason,Chris,Trevor,Zach,4
Jason,Chris,Melisa,Trevor,2
Jason,Zach,Melisa,Trevor,2
Alex,Reynolds,Brian,Dan,5
Alex,Reynolds,Peter,Dan,2
Alex,Reynolds,Brian,Peter,6
Alex,Reynolds,Joanna,Dan,7
Peter,Brian,Alex,Reynolds,2
Joanna,Dan,Brian,Peter,1
Joanna,Dan,Alex,Peter,4
Jason,Sneha,Trevor,Chris,7
Jason,Sneha,Trevor,Chris,6
JonJ,Chris,Jason,Sneha,5
JonJ,Chris,Jason,Sneha,3
Zach,Chris,Melisa,Jason,7
Jason,Trevor,Zach,Chris,6
Jason,Zach,Joanna,Trevor,5
Joanna,Alex,Jason,Zach,6
Joanna,Alex,Reynolds,Trevor,4
Jason,JohnH,Joanna,Alex,0
Jason,JohnH,JonJ,Ajith,7
Reynolds,Trevor,Jason,JohnH,4
Reynolds,Trevor,Joanna,Raihan,3
Reynolds,Trevor,Brian,Alex,5
KevinG,Ajith,Reynolds,Trevor,6
Dan,Joanna,Alex,KevinG,2
Joanna,Dan,Alex,KevinG,2
JonJ,Sneha,Chris,Raihan,4
JonJ,Sneha,Chris,Raihan,2
JonJ,Sneha,Chris,Ajith,4
Ajith,Chris,JonJ,Sneha,5
